pNLP,seed,rawObjective,rawGapPercent,feasibleRaw,topologyMatch,maxEqRaw,maxIneqRaw,polishedObjective,polishedGapPercent,feasiblePolished,maxEqPolished,maxIneqPolished,iterations,runtimeCORAL,globalModelEvaluations,localObjectiveEvaluations,localConstraintEvaluations,totalModelEvaluations,totalOracleCalls,localNLPCalls,localNLPIterations,localNLPRuntime,topologyRepairChanges,polishRuntime,polishObjectiveCalls,topologyLabel
0.6,12010,68.0093440505497,-0.0005881517728,1,1,9.99996192085906e-06,3.96904731303493e-14,68.0097440510651,1.46267250957043e-13,1,4.44089209850063e-16,0,279,943.3728499,58104,4560074,4560074,4618178,9178252,19134,159037,877.103560199999,14793,0.012626,130,P2-P4-P6-P8
0.8,12001,68.0097440495991,-2.15541510542455e-09,1,1,4.68239891304734e-11,1.63202784619898e-14,68.0097440510651,1.46267250957043e-13,1,2.22044604925031e-16,0,81,40573.3307014,18672,1841197,1841197,1859869,3701066,7367,64419,29742.8489840999,4100,0.0285381,138,P2-P4-P6-P8
0.8,12002,68.0093440579456,-0.000588140898038845,1,1,9.99980062210692e-06,0,68.0097440510652,2.29848537218211e-13,1,2.22044604925031e-16,0,242,990.6699596,55881,5241060,5241060,5296941,10538001,22041,182668,925.068133699998,12465,0.026227,130,P2-P4-P6-P8
0.8,12003,68.0097440495347,-2.25011270275846e-09,1,1,4.84059459182618e-11,6.78346268045971e-14,68.0097440510651,1.46267250957043e-13,1,2.22044604925031e-16,0,81,377.6451834,18640,1807450,1807450,1826090,3633540,7353,63088,353.8716017,4141,0.0281688,160,P2-P4-P6-P8
0.8,12004,68.0097440505433,-7.67067254661865e-10,1,1,1.68831615354748e-11,0,68.0097440510651,1.46267250957043e-13,1,2.22044604925031e-16,0,81,343.9063984,18649,1823899,1823899,1842548,3666447,7325,63804,322.0317782,4145,0.02397,137,P2-P4-P6-P8
0.8,12005,68.0097440503228,-1.09127906406893e-09,1,1,2.65969468671301e-11,0,68.0097440510651,1.46267250957043e-13,1,4.44089209850063e-16,0,81,398.6868772,18645,1828837,1828837,1847482,3676319,7351,63978,373.688125399999,4119,0.0183539,130,P2-P4-P6-P8
0.8,12006,68.0097440504835,-8.54994767808614e-10,1,1,1.84161574878772e-11,0,68.0097440510651,1.67162572522335e-13,1,2.22044604925031e-16,0,81,459.5486322,18670,1830758,1830758,1849428,3680186,7375,64072,430.396027600001,4137,0.0644261,134,P2-P4-P6-P8
0.8,12007,68.009743959529,-1.34592512415476e-07,1,1,2.89381429929847e-09,0,68.0097440510651,1.25371929391751e-13,1,2.22044604925031e-16,5.55111512312578e-17,81,386.1997896,18714,1838303,1838303,1857017,3695320,7401,64238,362.174082,4110,0.0546589,130,P2-P4-P6-P8
0.8,12008,68.0097440498166,-1.8355913135462e-09,1,1,3.96542798597466e-11,1.93178806284777e-14,68.0097440510651,1.25371929391751e-13,1,2.22044604925031e-16,0,81,393.2907873,18552,1804715,1804715,1823267,3627982,7289,63113,369.261604499999,4085,0.0242845,137,P2-P4-P6-P8
0.8,12009,68.0097440496668,-2.05595337477377e-09,1,1,4.46763737116385e-11,5.99520433297585e-15,68.0097440510651,1.46267250957043e-13,1,2.22044604925031e-16,0,81,430.4227908,18623,1828506,1828506,1847129,3675635,7330,63949,403.8704122,4142,0.0143793,137,P2-P4-P6-P8
0.8,12010,68.0097440508626,-2.97549379089757e-10,1,1,6.45683506661499e-12,4.44089209850063e-16,68.0097440510685,5.09845846193122e-12,1,5.55111512312578e-16,0,81,322.3957264,18678,1835122,1835122,1853800,3688922,7381,64134,301.663559199999,4164,0.0142008,137,P2-P4-P6-P8
